Folder,Subfolders,Files,Size (Bytes)
/srv/wordpress/wp_data/wp-content/themes/twentytwentyfour/parts,0,4,1473
/srv/wordpress/wp_data/wp-content/themes/twentytwentyfour/templates,0,11,12788
/srv/wordpress/wp_data/wp-content/themes/twentytwentyfour/assets,3,0,0
/srv/wordpress/wp_data/wp-content/themes/twentytwentyfour/assets/css,0,1,357
/srv/wordpress/wp_data/wp-content/themes/twentytwentyfour/assets/images,0,10,1152100
/srv/wordpress/wp_data/wp-content/themes/twentytwentyfour/assets/fonts,4,0,0
/srv/wordpress/wp_data/wp-content/themes/twentytwentyfour/assets/fonts/jost,0,3,116852
/srv/wordpress/wp_data/wp-content/themes/twentytwentyfour/assets/fonts/instrument-sans,0,3,187522
/srv/wordpress/wp_data/wp-content/themes/twentytwentyfour/assets/fonts/cardo,0,4,388180
/srv/wordpress/wp_data/wp-content/themes/twentytwentyfour/assets/fonts/inter,0,2,331004
/srv/wordpress/wp_data/wp-content/themes/twentytwentyfour/patterns,0,57,159393
/srv/wordpress/wp_data/wp-content/themes/twentytwentyfour/styles,0,7,33899
/srv/wordpress/wp_data/wp-content/themes/twentytwentythree,5,4,100901
/srv/wordpress/wp_data/wp-content/themes/twentytwentythree/parts,0,4,878
/srv/wordpress/wp_data/wp-content/themes/twentytwentythree/templates,0,9,10295
/srv/wordpress/wp_data/wp-content/themes/twentytwentythree/assets,1,0,0
/srv/wordpress/wp_data/wp-content/themes/twentytwentythree/assets/fonts,4,0,0
/srv/wordpress/wp_data/wp-content/themes/twentytwentythree/assets/fonts/dm-sans,0,5,128429
/srv/wordpress/wp_data/wp-content/themes/twentytwentythree/assets/fonts/source-serif-pro,0,5,1409152
/srv/wordpress/wp_data/wp-content/themes/twentytwentythree/assets/fonts/ibm-plex-mono,0,5,148118
/srv/wordpress/wp_data/wp-content/themes/twentytwentythree/assets/fonts/inter,0,2,807760
/srv/wordpress/wp_data/wp-content/themes/twentytwentythree/patterns,0,7,9785
/srv/wordpress/wp_data/wp-content/themes/twentytwentythree/styles,0,10,53195
/srv/wordpress/wp_data/wp-content/themes/twentytwentyfive,5,9,304875
/srv/wordpress/wp_data/wp-content/themes/twentytwentyfive/parts,0,7,440
/srv/wordpress/wp_data/wp-content/themes/twentytwentyfive/templates,0,8,5339
/srv/wordpress/wp_data/wp-content/themes/twentytwentyfive/assets,3,0,0
/srv/wordpress/wp_data/wp-content/themes/twentytwentyfive/assets/css,0,1,157
/srv/wordpress/wp_data/wp-content/themes/twentytwentyfive/assets/images,0,36,1945719
/srv/wordpress/wp_data/wp-content/themes/twentytwentyfive/assets/fonts,9,0,0
/srv/wordpress/wp_data/wp-content/themes/twentytwentyfive/assets/fonts/platypi,0,2,142896
/srv/wordpress/wp_data/wp-content/themes/twentytwentyfive/assets/fonts/literata,0,16,1698956
/srv/wordpress/wp_data/wp-content/themes/twentytwentyfive/assets/fonts/manrope,0,1,53600
/srv/wordpress/wp_data/wp-content/themes/twentytwentyfive/assets/fonts/roboto-slab,0,1,115804
/srv/wordpress/wp_data/wp-content/themes/twentytwentyfive/assets/fonts/vollkorn,0,2,357316
/srv/wordpress/wp_data/wp-content/themes/twentytwentyfive/assets/fonts/beiruti,0,1,176048
/srv/wordpress/wp_data/wp-content/themes/twentytwentyfive/assets/fonts/ysabeau-office,0,2,299520
/srv/wordpress/wp_data/wp-content/themes/twentytwentyfive/assets/fonts/fira-code,0,1,106112
/srv/wordpress/wp_data/wp-content/themes/twentytwentyfive/assets/fonts/fira-sans,0,18,2778636
/srv/wordpress/wp_data/wp-content/themes/twentytwentyfive/patterns,0,98,346749
/srv/wordpress/wp_data/wp-content/themes/twentytwentyfive/styles,4,8,64829
/srv/wordpress/wp_data/wp-content/themes/twentytwentyfive/styles/colors,0,8,25175
/srv/wordpress/wp_data/wp-content/themes/twentytwentyfive/styles/sections,0,5,10657
/srv/wordpress/wp_data/wp-content/themes/twentytwentyfive/styles/blocks,0,4,1977
/srv/wordpress/wp_data/wp-content/themes/twentytwentyfive/styles/typography,0,7,38357
/srv/wordpress/wp_data/wp-content/plugins,1,2,2699
/srv/wordpress/wp_data/wp-content/plugins/akismet,2,13,244985
/srv/wordpress/wp_data/wp-content/plugins/akismet/views,0,13,52607
/srv/wordpress/wp_data/wp-content/plugins/akismet/_inc,3,5,48163
/srv/wordpress/wp_data/wp-content/plugins/akismet/_inc/fonts,0,1,2193
/srv/wordpress/wp_data/wp-content/plugins/akismet/_inc/rtl,0,2,23044
/srv/wordpress/wp_data/wp-content/plugins/akismet/_inc/img,0,5,18257
/srv/wordpress/wp_data/wp-content/uploads,1,0,0
/srv/wordpress/wp_data/wp-content/uploads/2026,1,0,0
/srv/wordpress/wp_data/wp-content/uploads/2026/02,0,0,0
/srv/wordpress/db_data,4,14,162231162
